Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2022-11-15T15:00:00Z,SPY,401.62,198,Market,Filled,79520.76,"" 
2022-11-15T15:00:00Z,XLU,68.46,291,Market,Filled,19921.86,"" 
2022-11-28T15:00:00Z,MANU,21.72,92,Market,Filled,1998.24,"" 
2022-11-28T15:00:00Z,SQQQ,45.175,44,Market,Filled,1987.7,"" 
2022-11-28T15:00:00Z,TQQQ,22.1,90,Market,Filled,1989,"" 
2022-11-28T15:00:00Z,BABA,76.175,26,Market,Filled,1980.55,"" 
2022-11-28T15:00:00Z,NFLX,288.71,6,Market,Filled,1732.26,"" 
2022-11-28T15:00:00Z,AMZN,95.02,21,Market,Filled,1995.42,"" 
2022-11-28T15:00:00Z,META,110.58,18,Market,Filled,1990.44,"" 
2022-11-28T15:00:00Z,BA,175.19,11,Market,Filled,1927.09,"" 
2022-11-28T15:00:00Z,DIS,98.21,20,Market,Filled,1964.2,"" 
2022-11-28T15:00:00Z,GOOG,97.07,20,Market,Filled,1941.4,"" 
2022-11-28T15:00:00Z,MSFT,244.91,8,Market,Filled,1959.28,"" 
2022-11-28T15:00:00Z,QQQ,286.2,6,Market,Filled,1717.2,"" 
2022-11-28T15:00:00Z,BAC,37.265,53,Market,Filled,1975.045,"" 
2022-11-28T15:00:00Z,TLT,103.56,19,Market,Filled,1967.64,"" 
2022-11-28T15:00:00Z,EEM,37.89,52,Market,Filled,1970.28,"" 
2022-11-28T16:00:00Z,BRK.B,315.32,6,Market,Filled,1891.92,"" 
2022-11-28T16:00:00Z,GOOGL,95.93,20,Market,Filled,1918.6,"" 
2022-11-28T16:00:00Z,HYG,74.795,26,Market,Filled,1944.67,"" 
2022-11-28T18:00:00Z,IWM,183.14,10,Market,Filled,1831.4,"" 
2022-11-28T18:00:00Z,XOM,111.02,17,Market,Filled,1887.34,"" 
2022-11-28T18:00:00Z,AMD,73.41,27,Market,Filled,1982.07,"" 
2022-11-28T19:00:00Z,HD,319.65,6,Market,Filled,1917.9,"" 
2022-11-28T19:00:00Z,AAPL,143.96,13,Market,Filled,1871.48,"" 
2022-11-28T19:00:00Z,ATVI,74.55,26,Market,Filled,1938.3,"" 
2022-11-28T20:00:00Z,TSLA,183.67,10,Market,Filled,1836.7,"" 
2022-12-05T16:00:00Z,NIO,12.885,158,Market,Filled,2035.83,"" 
2022-12-05T17:00:00Z,EFA,66.985,30,Market,Filled,2009.55,"" 
2022-12-05T17:00:00Z,XLF,35.11,57,Market,Filled,2001.27,"" 
2022-12-05T17:00:00Z,CRM,139.1,14,Market,Filled,1947.4,"" 
2022-12-05T17:00:00Z,LQD,108.33,18,Market,Filled,1949.94,"" 
2022-12-05T18:00:00Z,FXI,28.49,70,Market,Filled,1994.3,"" 
2022-12-15T15:00:00Z,BAC,31.58,-53,Market,Filled,-1673.74,"Liquidated" 
2022-12-16T15:00:00Z,TSLA,156.14,-10,Market,Filled,-1561.4,"Liquidated" 
2022-12-16T18:00:00Z,TQQQ,18.79,-90,Market,Filled,-1691.1,"Liquidated" 
2022-12-19T17:00:00Z,NIO,10.89,-158,Market,Filled,-1720.62,"Liquidated" 
2022-12-28T16:00:00Z,AMD,62.425,-27,Market,Filled,-1685.475,"Liquidated" 
2023-01-04T17:00:00Z,BABA,102.06,-26,Market,Filled,-2653.56,"Liquidated" 
2023-01-23T15:00:00Z,ENPH,224.2,9,Market,Filled,2017.8,"" 
2023-01-23T15:00:00Z,TSLA,138.76,14,Market,Filled,1942.64,"" 
2023-01-23T15:00:00Z,AMD,74.81,27,Market,Filled,2019.87,"" 
2023-01-23T16:00:00Z,JPM,136.9,14,Market,Filled,1916.6,"" 
2023-01-23T18:00:00Z,BABA,119.25,17,Market,Filled,2027.25,"" 
